NAME                                 	CHART VERSION	APP VERSION                 	DESCRIPTION                                                 
stable/prometheus                    	8.6.1        	2.7.1                       	Prometheus is a monitoring system and time series database. 
stable/prometheus-adapter            	v0.4.1       	v0.4.1                      	A Helm chart for k8s prometheus adapter                     
stable/prometheus-blackbox-exporter  	0.2.0        	0.12.0                      	Prometheus Blackbox Exporter                                
stable/prometheus-cloudwatch-exporter	0.4.0        	0.5.0                       	A Helm chart for prometheus cloudwatch-exporter             
stable/prometheus-consul-exporter    	0.1.2        	0.4.0                       	A Helm chart for the Prometheus Consul Exporter             
stable/prometheus-couchdb-exporter   	0.1.0        	1.0                         	A Helm chart to export the metrics from couchdb in Promet...
stable/prometheus-mysql-exporter     	0.2.1        	v0.11.0                     	A Helm chart for prometheus mysql exporter with cloudsqlp...
stable/prometheus-node-exporter      	1.2.0        	0.17.0                      	A Helm chart for prometheus node-exporter                   
stable/prometheus-operator           	2.1.2        	0.26.0                      	Provides easy monitoring definitions for Kubernetes servi...
stable/prometheus-postgres-exporter  	0.6.1        	0.4.7                       	A Helm chart for prometheus postgres-exporter               
stable/prometheus-pushgateway        	0.3.0        	0.6.0                       	A Helm chart for prometheus pushgateway                     
stable/prometheus-rabbitmq-exporter  	0.3.0        	v0.29.0                     	Rabbitmq metrics exporter for prometheus                    
stable/prometheus-redis-exporter     	1.0.1        	0.25.0                      	Prometheus exporter for Redis metrics                       
stable/prometheus-snmp-exporter      	0.0.1        	0.14.0                      	Prometheus SNMP Exporter                                    
stable/prometheus-to-sd              	0.1.1        	0.2.2                       	Scrape metrics stored in prometheus format and push them ...
stable/quassel                       	0.2.9        	0.12.4                      	Quassel IRC is a modern, cross-platform, distributed IRC ...
stable/rabbitmq                      	4.1.0        	3.7.10                      	Open source message broker software that implements the A...
stable/redis                         	5.5.0        	4.0.12                      	Open source, advanced key-value store. It is often referr...
stable/rethinkdb                     	0.2.0        	0.1.0                       	The open-source database for the realtime web               
stable/risk-advisor                  	2.0.4        	1.0.0                       	Risk Advisor add-on module for Kubernetes                   
stable/rookout                       	0.1.0        	1.0                         	A Helm chart for Rookout agent on Kubernetes                
stable/sapho                         	0.2.2        	                            	A micro application development and integration platform ...
stable/schema-registry-ui            	0.3.0        	v0.9.4                      	This is a web tool for the confluentinc/schema-registry i...
stable/sealed-secrets                	1.0.1        	0.7.0                       	A Helm chart for Sealed Secrets                             
stable/selenium                      	1.0.0        	3.14.0                      	Chart for selenium grid                                     
stable/sematext-docker-agent         	0.2.0        	1.31.53                     	Sematext Docker Agent                                       
